Date,Close
01/07/2010,3.988
01/08/2010,3.896
01/09/2010,4.082
01/10/2010,4.368
01/11/2010,7.066
01/12/2010,5.326
01/01/2011,4.82
01/02/2011,4.778
01/03/2011,5.55
01/04/2011,5.52
01/05/2011,6.028
01/06/2011,5.826
01/07/2011,5.634
01/08/2011,4.948
01/09/2011,4.878
01/10/2011,5.874
01/11/2011,6.548
01/12/2011,5.712
01/01/2012,5.814
01/02/2012,6.682
01/03/2012,7.448
01/04/2012,6.626
01/05/2012,5.9
01/06/2012,6.258
01/07/2012,5.484
01/08/2012,5.704
01/09/2012,5.856
01/10/2012,5.626
01/11/2012,6.764
01/12/2012,6.774
01/01/2013,7.502
01/02/2013,6.966
01/03/2013,7.578
01/04/2013,10.798
01/05/2013,19.552
01/06/2013,21.472
01/07/2013,26.856001
01/08/2013,33.799999
01/09/2013,38.674
01/10/2013,31.988001
01/11/2013,25.455999
01/12/2013,30.086
01/01/2014,36.282001
01/02/2014,48.962002
01/03/2014,41.689999
01/04/2014,41.577999
01/05/2014,41.554001
01/06/2014,48.012001
01/07/2014,44.66
01/08/2014,53.939999
01/09/2014,48.535999
01/10/2014,48.34
01/11/2014,48.903999
01/12/2014,44.481998
01/01/2015,40.720001
01/02/2015,40.667999
01/03/2015,37.754002
01/04/2015,45.209999
01/05/2015,50.16
01/06/2015,53.652
01/07/2015,53.23
01/08/2015,49.812
01/09/2015,49.68
01/10/2015,41.386002
01/11/2015,46.051998
01/12/2015,48.001999
01/01/2016,38.240002
01/02/2016,38.386002
01/03/2016,45.953999
01/04/2016,48.152
01/05/2016,44.646
01/06/2016,42.456001
01/07/2016,46.958
01/08/2016,42.402
01/09/2016,40.806
01/10/2016,39.546001
01/11/2016,37.880001
01/12/2016,42.737999
01/01/2017,50.386002
01/02/2017,49.998001
01/03/2017,55.66
01/04/2017,62.813999
01/05/2017,68.202003
01/06/2017,72.321999
01/07/2017,64.694
01/08/2017,71.18
01/09/2017,68.220001
01/10/2017,66.306
01/11/2017,61.77
01/12/2017,62.27
01/01/2018,70.862
01/02/2018,68.612
01/03/2018,53.226002
01/04/2018,58.779999
01/05/2018,56.945999
01/06/2018,68.589996
01/07/2018,59.627998
01/08/2018,60.332001
01/09/2018,52.953999
01/10/2018,67.463997
01/11/2018,70.096001
01/12/2018,66.559998
01/01/2019,61.403999
01/02/2019,63.976002
01/03/2019,55.972
01/04/2019,47.737999
01/05/2019,37.032001
01/06/2019,44.692001
01/07/2019,48.321999
01/08/2019,45.122002
01/09/2019,48.174
01/10/2019,62.984001
01/11/2019,65.987999
01/12/2019,83.666
01/01/2020,130.113998
01/02/2020,133.598007
01/03/2020,104.800003
01/04/2020,156.376007
01/05/2020,167
01/06/2020,215.962006
01/07/2020,286.152008
01/08/2020,498.320007
01/09/2020,429.01001
01/10/2020,388.040009
01/11/2020,567.599976
01/12/2020,705.669983
01/01/2021,793.530029
01/02/2021,675.5
01/03/2021,667.929993
01/04/2021,709.440002
01/05/2021,625.219971
28/05/2021,625.219971
